Población total (con información hasta localidad),,,,,,,,,,,,,,,,,,,,,,,,
Sexo : Hombres,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Consulta de: Población total con estimación   Por: Entidad municipio y loc   Según: Edad quinquenal,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,De 0 a 4 años,De 5 a 9 años,De 10 a 14 años,De 15 a 19 años,De 20 a 24 años,De 25 a 29 años,De 30 a 34 años,De 35 a 39 años,De 40 a 44 años,De 45 a 49 años,De 50 a 54 años,De 55 a 59 años,De 60 a 64 años,De 65 a 69 años,De 70 a 74 años,De 75 a 79 años,De 80 a 84 años,De 85 a 89 años,De 90 a 94 años,De 95 a 99 años,De 100 y más años,No especificado
 15 033 ,Ecatepec,"1,218,135","150,247","157,995","151,409","148,938","125,807","108,545","98,353","80,810","57,815","42,980","30,072","21,239","15,811","11,012","6,470","4,334","2,480","1,593",531,240,104,"1,350"
 15 034 ,Ecatzingo,"5,808",815,928,909,623,443,365,347,288,195,194,166,143,108,84,67,47,28,21,7,4,,26
 15 035 ,Huehuetoca,"25,529","3,574","3,902","3,325","2,907","2,449","2,302","1,915","1,450",940,744,579,434,336,230,159,114,65,54,9,14,5,22
 15 036 ,Hueypoxtla,"26,189","3,555","3,808","3,628","3,040","2,442","1,887","1,561","1,224",971,898,756,599,534,418,321,220,152,107,32,20,9,7
 15 037 ,Huixquilucan,"131,926","15,823","15,694","15,150","17,684","14,798","11,353","9,355","8,110","6,288","5,182","3,775","2,683","2,097","1,373",850,582,337,229,80,35,8,440
 15 038 ,Isidro Fabela,"5,190",592,672,724,642,531,369,332,258,189,199,178,136,121,86,50,41,24,11,5,4,3,23
 15 039 ,Ixtapaluca,"137,357","18,532","19,506","18,453","15,870","13,054","11,763","10,995","8,358","5,498","4,264","3,249","2,429","1,897","1,395",778,520,313,219,74,44,23,123
 15 040 ,Ixtapan de la Sal,"24,297","3,413","3,511","3,344","2,748","2,069","1,669","1,406","1,242",926,716,622,563,473,361,213,163,119,51,15,8,7,658
 15 041 ,Ixtapan del Oro,"5,880",863,879,856,542,428,359,304,226,200,173,162,141,130,94,56,42,22,20,16,7,4,356
 15 042 ,Ixtlahuaca,"88,545","12,841","14,681","13,696","9,390","7,544","6,117","5,180","4,528","3,244","2,916","2,151","1,782","1,442","1,094",745,465,299,201,86,65,21,57
 15 043 ,Jalatlaco,"14,047","1,932","1,933","1,787","1,658","1,406","1,136",851,723,476,445,412,352,308,235,104,82,81,59,25,13,5,24
 15 044 ,Jaltenco,"22,803","2,653","3,248","3,254","2,702","1,891","1,728","2,051","1,714","1,052",703,480,331,291,207,131,93,58,44,12,5,5,150
 15 045 ,Jilotepec,"52,609","7,030","7,691","7,770","5,754","4,431","3,617","3,209","2,694","2,041","1,790","1,531","1,246","1,115",898,622,523,272,189,74,27,19,66
 15 046 ,Jilotzingo,"9,011","1,200","1,202","1,055",990,907,800,600,494,330,321,252,209,177,170,113,70,47,33,12,6,3,20
 15 047 ,Jiquipilco,"44,012","6,307","7,206","6,838","4,575","3,536","2,859","2,378","2,316","1,601","1,489","1,136","1,106",875,665,422,286,193,108,46,31,12,27
 15 048 ,Jocotitlán,"39,077","5,185","5,709","5,687","4,453","3,477","2,832","2,426","1,914","1,497","1,308","1,111",880,822,616,423,317,177,138,41,19,7,38
 15 049 ,Joquicingo,"7,769","1,066","1,098","1,048",844,758,578,471,393,272,257,229,218,169,134,86,43,42,28,9,4,3,19
 15 050 ,Juchitepec,"14,270","1,766","1,910","1,998","1,723","1,384","1,101",924,764,548,471,404,342,276,226,140,108,65,56,27,13,4,20
 15 051 ,Lerma,"66,912","8,427","8,894","9,082","8,308","6,952","5,433","4,394","3,533","2,644","2,311","1,739","1,422","1,147",921,633,430,269,173,52,36,21,91
 15 052 ,Malinalco,"16,872","2,413","2,507","2,368","1,768","1,429","1,104",993,875,614,604,524,457,421,302,149,124,88,51,36,15,9,21
 15 053 ,Melchor Ocampo,"26,154","3,302","3,456","3,396","3,238","2,769","2,169","1,846","1,479",995,894,669,530,441,353,202,177,111,60,34,7,2,24
 15 054 ,Metepec,"140,268","16,399","17,953","17,679","17,116","13,033","12,407","11,955","10,291","6,921","4,840","3,397","2,273","1,818","1,242",773,659,396,280,85,40,20,691
 15 055 ,Mexicalcingo,"7,248",923,922,909,901,770,645,450,392,271,248,210,145,123,92,65,70,50,38,10,5,2,7
 15 056 ,Morelos,"21,853","2,919","3,396","3,329","2,296","1,712","1,344","1,175","1,103",872,848,695,524,501,412,273,201,116,67,43,15,6,6
 15 057 ,Naucalpan,"786,551","89,105","86,553","84,160","101,637","97,015","74,405","57,216","46,432","36,273","30,874","24,678","18,386","13,687","9,285","5,807","4,063","2,569","1,468",512,207,93,"2,126"
 15 058 ,Nezahualcóyotl,"1,256,115","147,057","142,158","144,229","164,393","149,029","118,062","89,358","71,245","55,140","47,075","37,726","29,081","21,482","14,692","8,387","5,795","3,437","2,054",740,351,124,"4,500"
 15 059 ,Nextlalpan,"10,840","1,532","1,561","1,446","1,240","1,094",825,724,599,415,376,262,198,184,133,75,72,52,27,12,9,,4
 15 060 ,Nicolás Romero,"184,134","23,637","24,560","24,469","23,000","19,125","15,362","13,211","10,858","7,842","6,249","4,540","3,307","2,685","1,918","1,180",847,528,327,117,48,27,297
 15 061 ,Nopaltepec,"5,234",609,678,733,631,493,373,324,266,216,199,154,115,129,89,67,63,39,28,10,4,3,11
 15 062 ,Ocoyoacac,"37,395","4,482","4,777","4,829","4,712","4,020","3,037","2,508","2,038","1,599","1,386","1,074",784,623,517,356,247,192,107,45,25,8,29
 15 063 ,Ocuilan,"19,043","2,653","2,892","2,809","2,197","1,699","1,289","1,047",926,723,641,567,487,357,309,122,129,81,52,21,12,7,23
 15 064 ,El Oro,"25,490","3,724","4,209","3,921","2,562","1,956","1,624","1,446","1,284",925,855,748,605,576,418,221,187,109,64,28,20,4,4
 15 065 ,Otumba,"21,834","2,840","3,077","2,986","2,578","2,052","1,585","1,385","1,087",852,760,631,454,426,355,247,205,135,80,33,14,6,46
 15 066 ,Otzoloapan,"4,018",656,660,531,431,354,225,197,154,131,157,111,112,105,71,37,12,35,15,13,2,2,7
 15 067 ,Otzolotepec,"40,407","5,572","6,036","5,747","5,018","4,102","3,046","2,406","1,992","1,466","1,368",966,713,544,474,342,252,163,89,44,25,9,33
 15 068 ,Ozumba,"18,052","2,336","2,429","2,380","2,237","1,729","1,354","1,162",958,704,578,526,426,369,310,187,114,99,82,18,11,4,39
 15 069 ,Papalotla,"2,387",271,288,321,291,236,204,174,137,96,100,70,44,44,34,23,28,13,7,2,,,4
 15 070 ,La Paz,"134,782","17,311","17,489","17,741","17,752","14,357","11,438","9,461","8,064","5,966","4,428","3,161","2,350","1,788","1,301",757,508,324,214,84,43,26,219
 15 071 ,Polotitlán,"9,714","1,171","1,321","1,346","1,162",897,746,617,517,377,317,290,224,222,149,118,100,57,42,16,8,3,14
 15 072 ,Rayón,"7,026",814,937,921,856,727,552,475,412,301,221,189,165,123,125,70,58,29,26,8,10,2,5
 15 073 ,San Antonio la Isla,"7,321",875,944,"1,036",947,785,597,483,362,276,265,187,148,115,97,76,41,36,27,6,3,2,13
 15 074 ,San Felipe del Progreso,"140,834","23,197","25,133","21,437","14,865","11,568","9,098","7,090","6,288","4,676","4,563","3,389","3,020","2,149","1,671",984,627,439,280,107,64,33,156
 15 075 ,San Martín de las Pirámides,"13,563","1,596","1,674","1,830","1,643","1,382","1,098",891,698,553,474,392,348,303,209,153,136,76,63,22,7,5,10
 15 076 ,San Mateo Atenco,"41,926","5,602","5,958","5,846","5,256","4,176","3,423","2,842","2,369","1,624","1,364",877,747,496,430,280,173,115,73,30,34,9,202
 15 077 ,San Simón de Guerrero,"3,887",541,651,587,426,269,229,194,159,152,143,123,122,103,77,29,22,19,16,15,5,3,2
 15 078 ,Santo Tomás,"7,068","1,109","1,060","1,038",740,574,467,383,310,253,236,198,133,156,136,80,42,24,24,10,4,6,85
 15 079 ,Soyaniquilpan de Juárez,"7,997","1,081","1,054","1,128",939,774,566,474,404,295,285,221,199,175,116,89,90,49,34,16,2,2,4
 15 080 ,Sultepec,"23,462","3,493","3,701","3,507","2,552","1,853","1,507","1,165","1,084",800,851,682,585,489,413,258,196,148,96,30,24,12,16
 15 081 ,Tecámac,"123,218","14,807","16,365","16,411","15,500","12,199","9,725","8,697","7,591","5,969","4,678","3,330","2,351","1,821","1,391",890,621,341,231,90,31,14,165
 15 082 ,Tejupilco,"74,985","11,443","12,259","10,920","8,224","5,532","4,571","3,772","3,389","2,550","2,362","2,182","1,837","1,616","1,147",722,485,443,248,123,48,31,"1,081"
 15 083 ,Temamatla,"5,366",721,741,645,633,536,476,405,279,224,157,144,110,98,62,33,37,26,22,8,2,1,6
 15 084 ,Temascalapa,"19,099","2,412","2,693","2,659","2,179","1,752","1,348","1,232",971,718,637,557,444,392,326,264,196,147,97,38,14,7,16
 15 085 ,Temascalcingo,"51,269","7,446","8,624","8,070","5,626","3,975","3,233","2,743","2,278","1,828","1,824","1,378","1,203",955,767,512,353,219,145,53,16,5,16
 15 086 ,Temascaltepec,"26,968","4,278","4,287","3,923","2,876","2,262","1,838","1,480","1,176",871,761,797,660,571,467,211,161,135,99,35,25,16,39
 15 087 ,Temoaya,"49,427","7,362","7,915","7,395","5,615","4,585","3,512","2,836","2,508","1,758","1,760","1,142",778,683,488,378,209,202,96,54,33,9,109
 15 088 ,Tenancingo,"60,300","8,429","8,796","8,505","7,368","5,813","4,409","3,557","2,992","2,264","1,953","1,492","1,255","1,044",841,595,331,266,180,64,26,10,110
 15 089 ,Tenango del Aire,"6,207",729,764,793,703,684,508,449,331,255,214,187,150,144,100,51,48,39,34,9,5,2,8
 15 090 ,Tenango del Valle,"45,952","5,996","6,173","6,038","5,616","4,632","3,610","2,876","2,369","1,812","1,534","1,347","1,069",879,625,419,351,252,166,68,35,13,72
 15 091 ,Teoloyucán,"41,964","5,369","5,903","5,901","5,191","4,054","3,392","2,935","2,437","1,688","1,366",986,783,599,471,318,257,118,95,50,10,8,33
 15 092 ,Teotihuacán,"30,486","3,726","4,003","4,140","3,768","3,009","2,500","2,093","1,723","1,231","1,075",812,685,522,444,249,210,145,82,38,13,9,9
 15 093 ,Tepetlaoxtoc,"16,120","2,097","2,217","2,153","1,914","1,558","1,288","1,047",887,607,535,399,369,320,230,156,143,96,65,14,10,3,12
 15 094 ,Tepetlixpa,"12,687","1,524","1,739","1,628","1,449","1,251",966,825,655,524,461,359,313,288,257,112,116,105,65,27,15,1,7
 15 095 ,Tepotzotlán,"39,647","5,341","5,311","5,143","4,636","4,004","3,483","2,832","2,307","1,571","1,303",987,775,621,469,320,222,145,77,36,20,8,36
 15 096 ,Tequixquiac,"20,784","2,764","2,877","2,795","2,538","2,056","1,659","1,366","1,032",777,689,559,420,381,302,178,152,96,85,19,10,4,25
 15 097 ,Texcaltitlán,"12,468","1,824","1,936","1,788","1,278",997,807,652,558,426,371,332,305,293,193,132,94,89,69,22,11,8,283
 15 098 ,Texcalyacac,"2,961",346,386,397,346,294,192,215,172,115,109,85,66,76,52,35,24,18,14,3,7,1,8
 15 099 ,Texcoco,"140,368","15,671","17,076","17,684","18,451","15,665","11,749","10,149","8,163","6,234","5,055","3,819","2,871","2,390","1,957","1,154",918,611,412,151,77,26,85
 15 100 ,Tezoyuca,"12,416","1,461","1,516","1,681","1,548","1,199",974,939,765,597,411,312,251,227,193,107,85,67,44,13,11,3,12
 15 101 ,Tianguistenco,"42,448","5,660","5,933","5,772","5,009","4,084","3,319","2,833","2,144","1,552","1,481","1,182",971,780,576,351,305,185,163,54,33,9,52
 15 102 ,Timilpan,"12,059","1,541","1,798","1,793","1,279",946,809,650,548,481,470,384,372,294,279,156,122,74,31,13,9,5,5
 15 103 ,Tlalmanalco,"32,984","3,678","3,644","4,081","4,188","3,529","2,864","2,328","1,935","1,403","1,264","1,099",868,697,501,322,225,166,88,37,12,8,47
 15 104 ,Tlalnepantla,"702,807","75,782","76,284","77,960","90,014","82,266","64,917","51,467","42,734","34,315","29,460","23,276","17,437","13,241","8,960","5,312","3,853","2,254","1,379",471,142,59,"1,224"
 15 105 ,Tlatlaya,"33,914","4,982","5,647","5,503","3,668","2,141","1,801","1,556","1,522","1,275","1,209","1,170",911,827,552,415,267,241,100,65,30,20,12
 15 106 ,Toluca,"487,612","58,900","61,735","60,705","60,279","53,035","42,872","35,259","28,347","20,672","17,269","13,145","9,885","7,969","6,192","3,987","2,999","1,922","1,121",390,231,66,632
 15 107 ,Tonatico,"9,712","1,197","1,242","1,325","1,089",791,659,619,542,372,350,303,318,291,222,130,87,74,53,18,11,6,13
 15 108 ,Tultepec,"47,323","6,389","6,749","6,260","5,497","4,365","4,260","3,874","2,995","1,928","1,405",988,748,642,489,241,177,119,92,38,12,5,50
 15 109 ,Tultitlán,"246,464","30,910","34,424","31,289","28,361","22,547","21,907","22,153","18,006","11,424","7,788","5,295","3,768","2,899","2,017","1,221",840,498,292,88,43,24,670
 15 110 ,Valle de Bravo,"36,135","5,117","5,104","4,850","4,226","3,475","2,891","2,269","1,873","1,382","1,096",870,829,668,550,309,199,167,114,48,31,15,52
 15 111 ,Villa de Allende,"28,743","4,540","4,740","4,584","3,216","2,379","1,829","1,326","1,281",999,944,684,633,517,375,240,191,102,64,27,16,7,49
 15 112 ,Villa del Carbón,"27,283","4,036","4,247","3,967","2,902","2,309","1,850","1,493","1,281",977,961,766,652,525,458,298,237,148,87,36,17,9,27
 15 113 ,Villa Guerrero,"39,233","6,431","5,928","5,503","4,583","3,545","2,814","2,268","1,863","1,386","1,140",915,819,705,558,262,181,161,96,25,10,3,37
 15 114 ,Villa Victoria,"58,566","9,400","9,727","8,881","6,608","5,262","3,947","3,014","2,570","1,985","1,889","1,394","1,159",879,672,429,316,174,124,44,32,13,47
 15 115 ,Xonacatlán,"28,837","3,685","3,916","3,993","3,621","3,056","2,340","1,886","1,527","1,119",946,685,524,464,416,227,182,92,94,31,11,10,12
 15 116 ,Zacazonapan,"2,404",341,359,337,305,223,130,118,100,81,101,79,56,62,41,22,14,10,13,2,2,2,6
 15 117 ,Zacualpan,"14,383","2,036","2,268","2,206","1,502","1,091",886,722,726,502,495,447,353,345,296,171,135,85,68,17,19,8,5
 15 118 ,Zinacantepec,"83,197","10,931","11,592","11,636","10,709","8,721","6,513","5,156","4,302","3,173","2,766","2,029","1,701","1,245",961,635,446,302,176,83,46,16,58
 15 119 ,Zumpahuacán,"11,500","1,768","1,906","1,671","1,283",982,753,578,487,363,417,323,299,222,155,79,71,57,33,19,14,6,14
 15 120 ,Zumpango,"71,413","9,263","9,914","9,750","8,706","7,103","5,749","4,899","3,907","2,730","2,333","1,801","1,425","1,137",888,641,468,309,205,75,38,9,63
 15 121 ,Cuautitlán Izcalli,"326,750","38,264","43,258","41,325","37,969","29,319","28,642","29,190","25,625","17,175","11,417","7,499","5,015","3,873","2,686","1,625","1,112",699,395,135,68,28,"1,431"
#NAME?,Michoacán,"3,548,199","468,480","491,674","496,659","431,353","311,727","240,995","203,845","176,749","139,854","118,842","101,422","81,634","75,014","53,580","42,296","28,987","22,110","11,618","5,454","2,240","1,287","42,379"
 16 001 ,Acuitzio,"9,254","1,183","1,315","1,257","1,131",724,561,477,401,348,374,304,231,257,188,169,127,103,62,16,8,2,16
 16 002 ,Aguililla,"17,424","2,474","2,621","2,634","2,062","1,333",967,777,699,628,641,599,453,479,303,277,162,153,65,20,17,13,47
 16 003 ,Alvaro Obregón,"19,858","2,682","2,815","2,974","2,480","1,812","1,353","1,140",915,699,601,584,481,399,284,201,143,131,83,25,18,4,34
 16 004 ,Angamacutiro,"16,164","2,179","2,174","2,375","1,969","1,254",984,799,732,667,613,515,413,415,312,234,191,172,82,39,12,10,23
 16 005 ,Angangueo,"9,942","1,387","1,518","1,529","1,096",829,660,533,434,358,312,265,260,221,200,123,96,53,34,15,8,2,9
 16 006 ,Apatzingán,"100,926","13,605","14,511","14,244","12,225","8,653","6,829","6,045","5,148","3,993","3,070","2,662","2,086","1,892","1,181",957,542,411,232,112,47,46,"2,435"
 16 007 ,Aporo,"2,492",345,370,375,308,200,147,152,104,65,74,58,73,57,48,35,27,16,20,5,6,3,4
 16 008 ,Aquila,"20,275","3,336","3,399","3,035","2,296","1,547","1,196",996,912,730,669,525,371,385,233,233,136,126,47,28,14,9,52
 16 009 ,Ario,"29,900","4,123","4,507","4,542","3,446","2,342","1,809","1,500","1,383","1,180",960,838,733,735,550,462,312,230,118,66,18,10,36
 16 010 ,Arteaga,"22,917","3,149","3,202","3,187","2,559","1,765","1,212","1,073",864,731,692,602,419,421,276,226,184,131,92,33,11,13,"2,075"
 16 011 ,Briseñas,"9,478","1,112","1,249","1,306","1,187",838,572,526,498,398,336,321,213,232,185,166,117,90,34,21,8,6,63
 16 012 ,Buenavista,"36,214","5,184","5,677","5,676","4,400","2,809","2,303","1,919","1,824","1,383","1,102",934,799,745,480,389,230,163,58,50,15,16,58
 16 013 ,Carácuaro,"9,680","1,489","1,597","1,563","1,094",630,454,372,372,366,318,284,253,235,136,159,70,66,34,16,6,4,162
 16 014 ,Coahuayana,"13,378","1,871","1,930","2,045","1,649","1,111",854,669,607,492,465,414,326,315,199,157,103,80,46,22,7,2,14
 16 015 ,Coalcomán de Vázquez Pallares,"18,689","3,011","2,850","2,616","2,175","1,396","1,111",885,811,682,602,541,442,449,324,299,179,134,73,36,18,9,46
 16 016 ,Coeneo,"27,688","3,314","3,732","4,151","3,489","2,293","1,644","1,464","1,262","1,125",974,"1,002",764,692,518,448,316,230,122,55,29,15,49
 16 017 ,Contepec,"24,915","3,717","3,903","3,718","2,842","1,965","1,498","1,163","1,055",815,838,679,636,512,445,299,255,172,102,38,13,22,228
 16 018 ,Copándaro,"9,132","1,338","1,365","1,366","1,027",745,546,493,397,295,275,290,259,223,135,125,102,68,46,11,8,5,13
 16 019 ,Cotija,"19,773","2,623","2,823","2,953","2,407","1,579","1,203","1,021",941,809,686,590,464,450,327,271,158,178,65,40,14,17,154
 16 020 ,Cuitzeo,"25,042","2,987","3,394","3,620","3,079","2,304","1,631","1,371","1,270",936,882,813,595,592,460,371,279,206,126,47,18,11,50
 16 021 ,Charapan,"10,617","1,412","1,560","1,586","1,246",845,675,531,568,385,348,312,268,239,176,140,67,95,49,34,26,14,41
 16 022 ,Charo,"16,213","2,209","2,219","2,367","2,015","1,562","1,132",843,715,569,530,452,398,335,240,201,177,119,61,20,6,3,40
 16 023 ,Chavinda,"12,472","1,418","1,593","1,943","1,607",999,709,604,592,548,485,451,328,322,262,230,145,112,52,29,15,9,19
 16 024 ,Cherán,"14,870","1,989","2,505","2,254","1,685","1,207","1,037",768,684,545,512,379,335,279,179,189,112,85,52,32,15,10,17
 16 025 ,Chilchota,"26,349","3,467","4,052","3,703","3,003","2,213","1,751","1,527","1,376",987,861,726,563,576,385,334,220,201,112,69,27,15,181
 16 026 ,Chinicuila,"6,795","1,036","1,069","1,045",852,534,380,303,258,240,256,192,162,131,100,81,59,43,30,8,7,1,8
 16 027 ,Chucándiro,"8,201","1,108","1,179","1,238",986,602,462,431,328,316,309,256,193,217,178,137,91,69,33,21,6,7,34
 16 028 ,Churintzio,"10,256","1,136","1,219","1,316","1,356",994,704,534,490,477,388,366,289,277,223,152,139,87,57,28,9,1,14
 16 029 ,Churumuco,"14,789","2,381","2,454","2,319","1,516","1,046",818,703,624,507,426,404,333,324,198,208,108,81,60,35,7,10,227
 16 030 ,Ecuandureo,"15,945","1,741","1,999","2,259","2,047","1,521","1,047",880,743,723,598,597,449,363,256,271,142,140,70,41,16,9,33
 16 031 ,Epitacio Huerta,"15,419","2,209","2,327","2,280","1,653","1,215",972,742,657,569,532,491,469,359,266,187,174,115,62,36,5,5,94
 16 032 ,Erongarícuaro,"11,930","1,403","1,719","1,830","1,496",870,645,627,611,499,472,333,361,300,243,191,124,102,51,28,10,3,12
 16 033 ,Gabriel Zamora,"18,931","2,597","2,887","2,986","2,234","1,396","1,145","1,003",927,738,670,558,443,389,271,244,135,123,36,24,9,13,103
 16 034 ,Hidalgo,"94,049","13,862","14,245","13,674","11,170","8,179","6,263","5,311","4,655","3,434","2,847","2,370","2,039","1,863","1,416",968,662,476,252,98,45,19,201
 16 035 ,La Huacana,"35,333","5,333","5,781","5,716","4,114","2,562","1,977","1,598","1,570","1,228","1,118",998,792,813,506,468,262,253,94,62,20,15,53
 16 036 ,Huandacareo,"13,189","1,489","1,599","1,803","1,718","1,332",811,717,651,553,512,460,352,340,257,222,145,104,63,32,9,4,16
 16 037 ,Huaniqueo,"12,821","1,445","1,548","1,745","1,556","1,074",808,681,591,492,514,482,425,410,299,281,168,149,79,30,11,3,30
 16 038 ,Huetamo,"44,010","5,978","6,625","6,987","5,389","3,071","2,336","2,026","1,953","1,620","1,519","1,378","1,168","1,204",775,735,439,358,147,94,29,25,154
 16 039 ,Huiramba,"6,030",961,853,898,731,493,380,318,269,199,173,172,141,147,94,66,50,52,16,7,5,,5
 16 040 ,Indaparapeo,"14,750","2,140","2,220","2,173","1,780","1,257",942,772,659,512,456,365,352,327,242,176,155,99,52,24,14,6,27
 16 041 ,Irimbo,"10,219","1,662","1,593","1,432","1,198",874,673,555,408,329,296,255,222,207,160,112,81,83,39,18,7,4,11
 16 042 ,Ixtlán,"15,510","1,836","2,013","2,338","2,039","1,215",874,708,740,650,602,571,400,388,288,273,190,142,62,35,18,14,114
 16 043 ,Jacona,"40,546","5,538","5,522","5,622","5,203","3,793","2,890","2,344","2,007","1,645","1,355","1,081",839,811,557,414,268,212,97,49,21,8,270
 16 044 ,Jiménez,"17,474","1,855","2,220","2,481","2,199","1,430","1,019",933,824,716,702,689,561,549,408,281,220,183,96,58,14,9,27
 16 045 ,Jiquilpan,"36,709","4,302","4,730","5,097","4,722","3,238","2,328","2,134","1,849","1,601","1,282","1,217",911,849,638,575,393,292,167,84,31,23,246
 16 046 ,Juárez,"9,860","1,290","1,454","1,522","1,197",779,617,528,461,360,321,278,293,240,175,129,76,59,33,15,6,11,16
 16 047 ,Jungapeo,"14,391","2,071","2,207","2,146","1,725","1,189",862,715,596,525,484,424,368,332,254,181,109,90,42,19,13,4,35
 16 048 ,Lagunillas,"5,016",689,673,742,663,396,275,268,241,192,163,158,117,142,89,70,48,38,22,12,5,1,12
 16 049 ,Madero,"15,339","2,356","2,502","2,309","1,796","1,149",877,723,675,579,466,447,328,337,232,191,109,105,45,24,10,6,73
 16 050 ,Maravatío,"59,803","9,287","9,282","8,645","6,969","5,073","3,884","3,202","2,636","2,039","1,736","1,504","1,327","1,267",939,635,481,367,189,88,30,15,208
 16 051 ,Marcos Castellanos,"10,412","1,293","1,344","1,438","1,277",930,752,617,532,418,384,316,256,194,176,156,86,91,36,22,8,5,81
 16 052 ,Lázaro Cárdenas,"134,969","19,990","19,752","17,654","14,431","12,986","12,144","9,908","7,536","4,596","3,436","2,537","1,839","1,440",934,673,418,276,130,69,43,25,"4,152"
 16 053 ,Morelia,"492,901","57,357","58,946","59,858","62,092","50,461","38,838","33,050","27,492","20,800","16,505","13,594","10,879","9,235","6,682","4,723","3,612","2,446","1,423",569,226,84,"14,029"
